是真,15
於過,15
於何,15
提諸,15
所增,15
所修,15
我行,15
成熟,15
惑轉,15
情界,15
悉能,15
心如,15
心大,15
復得,15
得近,15
已來,15
子菩,15
如法,15
天龍,15
天無,15
大善,15
善利,15
受諸,15
取相,15
去諸,15
卷受,15
即般,15
十力,15
勝行,15
勝最,15
前菩,15
入無,15
僧祇,15
佛威,15
何菩,15
人等,15
乃名,15
不證,15
顛倒,14
非心,14
隨如,14
陀羅,14
邊際,14
邊受,14
適悅,14
退不,14
說若,14
說應,14
言阿,14
行色,14
行而,14
行無,14
行此,14
著故,14
若無,14
色如,14
至書,14
臥具,14
者以,14
緣者,14
等心,14
祇世,14
知若,14
知一,14
相即,14
皆得,14
當受,14
由此,14
生驚,14
生而,14
生死,14
生各,14
理相,14
法久,14
況復,14
欲界,14
服作,14
有菩,14
有不,14
時為,14
是觀,14
是住,14
施持,14
故憍,14
故今,14
摩尼,14
持此,14
我我,14
性即,14
怖不,14
從一,14
得菩,14
得者,14
常所,14
小千,14
如大,14
大梵,14
多出,14
多佛,14
壞不,14
增益,14
增減,14
圍繞,14
向故,14
名菩,14
可說,14
及彼,14
及佛,14
去我,14
千俱,14
作諸,14
佛舍,14
以滿,14
人書,14
亦離,14
亦是,14
二分,14
了不,14
中見,14
中千,14
中修,14
不起,14
不以,14
魔伺,13
餘諸,13
難行,13
難白,13
難事,13
離是,13
離如,13
長夜,13
邊色,13
轉無,13
轉不,13
起諸,13
護故,13
識如,13
證無,13
諸行,13
諸所,13
誦應,13
言尊,13
若行,13
若復,13
若以,13
與一,13
至不,13
自在,13
脫解,13
脫知,13
能安,13
羅門,13
羅等,13
緣生,13
等當,13
空三,13
福田,13
知不,13
盡法,13
白尊,13
疑不,13
由旬,13
生說,13
生疑,13
生所,13
王帝,13
猶如,13
無證,13
無知,13
無智,13
無增,13
滿小,13
滿四,13
滅無,13
法相,13
法有,13
法師,13
法已,13
法佛,13
此諸,13
梵行,13
梵天,13
果如,13
智無,13
是色,13
是思,13
數憍,13
故爾,13
故復,13
提隨,13
提譬,13
提真,13
提何,13
提不,13
所覺,13
所聞,13
所樂,13
所依,13
或時,13
應者,13
應如,13
憂愁,13
性如,13
微妙,13
得一,13
彼聲,13
已復,13
已安,13
少能,13
尊此,13
尊告,13
婆羅,13
威力,13
如亦,13
多若,13
多耶,13
多中,13
喜善,13
喜以,13
哉須,13
名得,13
各教,13
取無,13
又菩,13
即有,13
千分,13
十善,13
勤行,13
利樂,13
其夢,13
共所,13
便為,13
來菩,13
佛眼,13
佛會,13
何故,13
人若,13
人當,13
乘法,13
中隨,13
中而,13
中求,13
不於,13
不散,13
不捨,13
不從,13
不取,13
不久,13
一皆,13
養者,12
離色,12
間以,12
邊不,12
進禪,12
速得,12
辱精,12
識若,12
識是,12
證實,12
諸隨,12
諸異,12
諸根,12
諸方,12
諸功,12
說義,12
說無,12
說彼,12
行亦,12
著相,12
至如,12
自當,12
能隨,12
能和,12
而自,12
者云,12
緣不,12
等遍,12
等故,12
禮供,12
知皆,12
相所,12
生皆,12
無漏,12
無我,12
無心,12
無取,12
為真,12
為甚,12
為所,12
為希,12
滅又,12
深心,12
淨無,12
法何,12
法乃,12
此隨,12
染心,12
未得,12
服臥,12
有過,12
有能,12
有功,12
有何,12
時有,12
時於,12
是我,12
是事,12
施波,12
於長,12
於無,12
於兢,12
數假,12
故汝,12
提亦,12
所解,12
所為,12
所應,12
所念,12
所取,12
所以,12
或見,12
戒定,12
念若,12
心有,12
心即,12
從先,12
廣說,12
已心,12
已從,12
尼寶,12
尊諸,12
實相,12
定慧,12
安樂,12
如去,12
如其,12
大菩,12
多力,12
增無,12
地中,12
善逝,12
合掌,12
取著,12
即白,12
千天,12
動轉,12
剎中,12
具善,12
其身,12
優婆,12
便力,12
侍女,12
來諸,12
來所,12
來亦,12
住無,12
人持,12
亦非,12
亦有,12
事已,12
中住,12
不樂,12
不善,12
不名,12
不去,12
不來,12
一心,12
一劫,12
食衣,11
非法,11
難當,11
離受,11
隨其,11
際不,11
門受,11
進波,11
造七,11
通達,11
較量,11
護者,11
護助,11
議不,11
譬喻,11
識真,11
識相,11
識即,11
諸蘊,11
說其,11
言性,11
言云,11
解佛,11
表示,11
行故,11
行即,11
行一,11
若聞,11
色真,11
至烏,11
自不,11
聞法,11
聚集,11
聚中,11
而復,11
置清,11
眷屬,11
相可,11
相亦,11
界如,11
界中,11
由是,11
生心,11
甚為,11
無為,11
無減,11
無別,11
烏波,11
滅即,11
淨處,11
波尼,11
法我,11
法得,11
殺曇,11
欲趣,11
次舍,11
極最,11
梵王,11
根又,11
有無,11
有信,11
曼陀,11
書此,11
曠野,11
曇分,11
智故,11
時長,11
是知,11
是勤,11
是何,11
是世,11
明是,11
於自,11
於聲,11
斷正,11
敬供,11
教他,11
故離,11
故受,11
故乃,11
